WTeam,LTeam,WLoc
Utah Jazz,Cleveland Cavaliers,H
Boston Celtics,Brooklyn Nets,H
Houston Rockets,Los Angeles Lakers,H
Minnesota Timberwolves,Indiana Pacers,V
Los Angeles Clippers,Charlotte Hornets,H
Dallas Mavericks,Oklahoma City Thunder,V
Philadelphia 76ers,Phoenix Suns,V
Memphis Grizzlies,Sacramento Kings,V
Washington Wizards,Chicago Bulls,H
Brooklyn Nets,Orlando Magic,H
Portland Trail Blazers,Chicago Bulls,V
Minnesota Timberwolves,Los Angeles Lakers,H
Toronto Raptors,Milwaukee Bucks,H
Cleveland Cavaliers,Portland Trail Blazers,H
Los Angeles Clippers,Memphis Grizzlies,H
San Antonio Spurs,New York Knicks,V
Phoenix Suns,Atlanta Hawks,H
Charlotte Hornets,Sacramento Kings,V
Boston Celtics,Cleveland Cavaliers,H
Brooklyn Nets,Minnesota Timberwolves,H
Toronto Raptors,Chicago Bulls,V
Golden State Warriors,Dallas Mavericks,V
Denver Nuggets,Phoenix Suns,H
Oklahoma City Thunder,Los Angeles Lakers,V
Miami Heat,Detroit Pistons,H
Milwaukee Bucks,Indiana Pacers,H
Houston Rockets,Orlando Magic,V
Philadelphia 76ers,San Antonio Spurs,H
New Orleans Pelicans,Utah Jazz,V
Washington Wizards,New York Knicks,H
Golden State Warriors,Houston Rockets,V
Oklahoma City Thunder,Los Angeles Clippers,V
Boston Celtics,Minnesota Timberwolves,H
Chicago Bulls,Dallas Mavericks,V
Denver Nuggets,Utah Jazz,H
Charlotte Hornets,Los Angeles Lakers,V
Washington Wizards,Memphis Grizzlies,V
Miami Heat,New York Knicks,H
Toronto Raptors,Milwaukee Bucks,V
Philadelphia 76ers,Detroit Pistons,H
Portland Trail Blazers,Atlanta Hawks,H
San Antonio Spurs,Phoenix Suns,H
Boston Celtics,Brooklyn Nets,V
Detroit Pistons,Houston Rockets,H
Indiana Pacers,Chicago Bulls,H
Golden State Warriors,Los Angeles Clippers,V
Minnesota Timberwolves,New Orleans Pelicans,H
Cleveland Cavaliers,Orlando Magic,V
Sacramento Kings,Denver Nuggets,H
Milwaukee Bucks,Washington Wizards,V
New York Knicks,Dallas Mavericks,V
Los Angeles Lakers,Atlanta Hawks,H
Miami Heat,Utah Jazz,H
Phoenix Suns,Oklahoma City Thunder,H
Portland Trail Blazers,San Antonio Spurs,H
Toronto Raptors,Brooklyn Nets,V
Houston Rockets,Chicago Bulls,V
Golden State Warriors,Denver Nuggets,H
Indiana Pacers,Milwaukee Bucks,H
Los Angeles Clippers,Atlanta Hawks,H
Minnesota Timberwolves,Cleveland Cavaliers,H
New Orleans Pelicans,Detroit Pistons,H
San Antonio Spurs,Sacramento Kings,V
Dallas Mavericks,Orlando Magic,H
Los Angeles Lakers,Sacramento Kings,H
Portland Trail Blazers,Oklahoma City Thunder,V
Miami Heat,Toronto Raptors,V
Detroit Pistons,Brooklyn Nets,V
Dallas Mavericks,Charlotte Hornets,V
Atlanta Hawks,Denver Nuggets,V
Los Angeles Clippers,Golden State Warriors,V
Houston Rockets,Portland Trail Blazers,H
Miami Heat,Indiana Pacers,V
Memphis Grizzlies,New Orleans Pelicans,H
Milwaukee Bucks,Orlando Magic,H
Minnesota Timberwolves,Oklahoma City Thunder,H
Chicago Bulls,New York Knicks,V
Utah Jazz,Washington Wizards,V
Los Angeles Lakers,San Antonio Spurs,H
Boston Celtics,Philadelphia 76ers,V
Los Angeles Clippers,Sacramento Kings,V
Toronto Raptors,Cleveland Cavaliers,H
Brooklyn Nets,Atlanta Hawks,V
Charlotte Hornets,Utah Jazz,H
Denver Nuggets,Memphis Grizzlies,H
Indiana Pacers,Cleveland Cavaliers,H
Golden State Warriors,Milwaukee Bucks,V
Minnesota Timberwolves,New York Knicks,H
New Orleans Pelicans,Portland Trail Blazers,H
Houston Rockets,Phoenix Suns,V
Washington Wizards,Orlando Magic,H
Chicago Bulls,Detroit Pistons,H
Oklahoma City Thunder,Charlotte Hornets,V
Los Angeles Lakers,Dallas Mavericks,V
Los Angeles Clippers,Sacramento Kings,H
San Antonio Spurs,Denver Nuggets,H
Golden State Warriors,Toronto Raptors,V
Washington Wizards,Brooklyn Nets,H
Miami Heat,Milwaukee Bucks,H
Minnesota Timberwolves,Portland Trail Blazers,H
New Orleans Pelicans,New York Knicks,V
Indiana Pacers,Phoenix Suns,V
Atlanta Hawks,San Antonio Spurs,H
New York Knicks,Brooklyn Nets,V
Chicago Bulls,Miami Heat,H
Golden State Warriors,Cleveland Cavaliers,V
Charlotte Hornets,Detroit Pistons,V
Los Angeles Clippers,Houston Rockets,H
Memphis Grizzlies,Los Angeles Lakers,H
Oklahoma City Thunder,Sacramento Kings,H
Philadelphia 76ers,Toronto Raptors,H
Indiana Pacers,Utah Jazz,V
Milwaukee Bucks,Washington Wizards,V
New Orleans Pelicans,Boston Celtics,V
Denver Nuggets,Dallas Mavericks,H
Orlando Magic,Minnesota Timberwolves,H
Portland Trail Blazers,Phoenix Suns,H
Atlanta Hawks,New Orleans Pelicans,H
San Antonio Spurs,Brooklyn Nets,V
